Date,Open,High,Low,Close,Adj Close,Volume
2023-12-10,2341.440186,2376.749756,2323.405762,2352.462646,2352.462646,7369608905
2023-12-11,2352.496582,2354.914063,2160.358154,2224.578857,2224.578857,17989249470
2023-12-12,2224.391113,2242.551270,2166.770020,2202.038086,2202.038086,11391132228
2023-12-13,2202.600342,2283.099121,2150.754395,2260.648682,2260.648682,12576395493
2023-12-14,2260.736084,2331.601563,2239.366211,2316.579102,2316.579102,12608711052
2023-12-15,2316.110352,2316.892822,2214.263184,2219.337402,2219.337402,10259157898
2023-12-16,2220.415527,2260.809814,2213.550781,2226.926514,2226.926514,6866555430
2023-12-17,2226.892578,2244.366455,2195.761719,2196.481201,2196.481201,7410453853
2023-12-18,2195.341797,2222.019287,2120.127441,2217.273438,2217.273438,10366536490
2023-12-19,2218.240967,2253.348877,2139.723389,2177.872559,2177.872559,10619179629
2023-12-20,2177.239502,2263.329102,2172.773438,2225.668701,2225.668701,11319940096
